"ProteinIDs"	"ProteinNames"	"GeneNames"	"GeneNamesUnique"
"RPRD2"	"Q5VT52-3;Q5VT52;Q5VT52-2;Q5VT52-5;Q5VT52-4"	"Regulation of nuclear pre-mRNA domain-containing protein 2"	"RPRD2"	"RPRD2"
"RPS10;RPS10P5"	"P46783;Q9NQ39"	"40S ribosomal protein S10;Putative 40S ribosomal protein S10-like"	"RPS10;RPS10P5"	"RPS10;RPS10P5"
"RPS11"	"P62280"	"40S ribosomal protein S11"	"RPS11"	"RPS11"
"RPS12"	"P25398"	"40S ribosomal protein S12"	"RPS12"	"RPS12"
"RPS13"	"P62277"	"40S ribosomal protein S13"	"RPS13"	"RPS13"
"RPS14"	"P62263"	"40S ribosomal protein S14"	"RPS14"	"RPS14"
"RPS15"	"P62841"	"40S ribosomal protein S15"	"RPS15"	"RPS15"
"RPS15A"	"P62244"	"40S ribosomal protein S15a"	"RPS15A"	"RPS15A"
"RPS16"	"P62249"	"40S ribosomal protein S16"	"RPS16"	"RPS16"
"RPS17L;RPS17"	"P0CW22;P08708"	"40S ribosomal protein S17-like;40S ribosomal protein S17"	"RPS17L;RPS17"	"RPS17L;RPS17"
"RPS18"	"P62269"	"40S ribosomal protein S18"	"RPS18"	"RPS18"
"RPS19"	"P39019"	"40S ribosomal protein S19"	"RPS19"	"RPS19"
"RPS19BP1"	"Q86WX3"	"Active regulator of SIRT1"	"RPS19BP1"	"RPS19BP1"
"RPS2"	"P15880"	"40S ribosomal protein S2"	"RPS2"	"RPS2"
"RPS20"	"P60866;P60866-2"	"40S ribosomal protein S20"	"RPS20"	"RPS20"
"RPS21"	"P63220"	"40S ribosomal protein S21"	"RPS21"	"RPS21"
"RPS23"	"P62266"	"40S ribosomal protein S23"	"RPS23"	"RPS23"
"RPS24"	"P62847-2;P62847-3;P62847;P62847-4"	"40S ribosomal protein S24"	"RPS24"	"RPS24"
"RPS25"	"P62851"	"40S ribosomal protein S25"	"RPS25"	"RPS25"
"RPS26;RPS26P11"	"P62854;Q5JNZ5"	"40S ribosomal protein S26;Putative 40S ribosomal protein S26-like 1"	"RPS26;RPS26P11"	"RPS26;RPS26P11"
"RPS27"	"P42677"	"40S ribosomal protein S27"	"RPS27"	"RPS27"
"RPS27A"	"P62979"	"Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a"	"RPS27A"	"RPS27A"
"RPS27L"	"Q71UM5"	"40S ribosomal protein S27-like"	"RPS27L"	"RPS27L"
"RPS28"	"P62857"	"40S ribosomal protein S28"	"RPS28"	"RPS28"
"RPS29"	"P62273;P62273-2"	"40S ribosomal protein S29"	"RPS29"	"RPS29"
"RPS3"	"P23396;P23396-2"	"40S ribosomal protein S3"	"RPS3"	"RPS3"
"RPS3A"	"P61247"	"40S ribosomal protein S3a"	"RPS3A"	"RPS3A"
"RPS4X;RPS4Y1"	"P62701;P22090"	"40S ribosomal protein S4, X isoform;40S ribosomal protein S4, Y isoform 1"	"RPS4X;RPS4Y1"	"RPS4X;RPS4Y1"
"RPS5"	"P46782"	"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed"	"RPS5"	"RPS5"
"RPS6"	"P62753"	"40S ribosomal protein S6"	"RPS6"	"RPS6"
"RPS6KA1"	"Q15418;Q15418-2;Q15418-3"	"Ribosomal protein S6 kinase alpha-1"	"RPS6KA1"	"RPS6KA1"
"RPS6KA3"	"P51812;Q9UK32-2;Q9UK32"	"Ribosomal protein S6 kinase alpha-3"	"RPS6KA3"	"RPS6KA3"
"RPS6KA5"	"O75582;O75582-2"	"Ribosomal protein S6 kinase alpha-5"	"RPS6KA5"	"RPS6KA5"
"RPS6KB1"	"P23443-3;P23443-5;P23443-2;P23443;P23443-4"	"Ribosomal protein S6 kinase beta-1"	"RPS6KB1"	"RPS6KB1"
"RPS7"	"P62081"	"40S ribosomal protein S7"	"RPS7"	"RPS7"
"RPS8"	"P62241"	"40S ribosomal protein S8"	"RPS8"	"RPS8"
"RPS9"	"P46781"	"40S ribosomal protein S9"	"RPS9"	"RPS9"
"RPSA"	"P08865"	"40S ribosomal protein SA"	"RPSA"	"RPSA"
"RPTOR"	"Q8N122;Q8N122-3;Q8N122-2"	"Regulatory-associated protein of mTOR"	"RPTOR"	"RPTOR"
"RPUSD2"	"Q8IZ73;Q8IZ73-2"	"RNA pseudouridylate synthase domain-containing protein 2"	"RPUSD2"	"RPUSD2"
"RQCD1"	"Q92600;Q92600-3;Q92600-2"	"Cell differentiation protein RCD1 homolog"	"RQCD1"	"RQCD1"
"RRAGA"	"Q7L523"	"Ras-related GTP-binding protein A"	"RRAGA"	"RRAGA"
"RRAGC;RRAGD"	"Q9HB90;Q9NQL2;Q9NQL2-2"	"Ras-related GTP-binding protein C;Ras-related GTP-binding protein D"	"RRAGC;RRAGD"	"RRAGC;RRAGD"
"RRAS"	"P10301"	"Ras-related protein R-Ras"	"RRAS"	"RRAS"
"RRAS2"	"P62070-3;P62070;P62070-4;P62070-2"	"Ras-related protein R-Ras2"	"RRAS2"	"RRAS2"
"RRBP1"	"Q9P2E9;Q9P2E9-2;Q9P2E9-3;Q8N4C6-6;Q8N4C6-11;Q8N4C6-4;Q8N4C6-9;Q8N4C6-2;Q8N4C6;Q8N4C6-5;Q8N4C6-10;Q8N4C6-7"	"Ribosome-binding protein 1"	"RRBP1"	"RRBP1"
"RREB1"	"Q92766;Q92766-2;Q92766-5;Q92766-3;Q92766-6;Q92766-4"	"Ras-responsive element-binding protein 1"	"RREB1"	"RREB1"
"RRM1"	"P23921"	"Ribonucleoside-diphosphate reductase large subunit"	"RRM1"	"RRM1"
"RRM2B"	"Q7LG56;Q7LG56-6;Q7LG56-2;Q7LG56-5;Q7LG56-3"	"Ribonucleoside-diphosphate reductase subunit M2 B"	"RRM2B"	"RRM2B"
"RRP1"	"P56182"	"Ribosomal RNA processing protein 1 homolog A"	"RRP1"	"RRP1"
"RRP12"	"Q5JTH9;Q5JTH9-3;Q5JTH9-2"	"RRP12-like protein"	"RRP12"	"RRP12"
"RRP15"	"Q9Y3B9"	"RRP15-like protein"	"RRP15"	"RRP15"
"RRP1B"	"Q14684;Q14684-2"	"Ribosomal RNA processing protein 1 homolog B"	"RRP1B"	"RRP1B"
"RRP7A"	"Q9Y3A4"	"Ribosomal RNA-processing protein 7 homolog A"	"RRP7A"	"RRP7A"
"RRP8"	"O43159"	"Ribosomal RNA-processing protein 8"	"RRP8"	"RRP8"
"RRP9"	"O43818"	"U3 small nucleolar RNA-interacting protein 2"	"RRP9"	"RRP9"
"RRS1"	"Q15050"	"Ribosome biogenesis regulatory protein homolog"	"RRS1"	"RRS1"
"RSBN1"	"Q5VWQ0;Q5VWQ0-4"	"Round spermatid basic protein 1"	"RSBN1"	"RSBN1"
"RSBN1L"	"Q6PCB5;Q6PCB5-2"	"Round spermatid basic protein 1-like protein"	"RSBN1L"	"RSBN1L"
"RSF1"	"Q96T23-2;Q96T23;Q96T23-3"	"Remodeling and spacing factor 1"	"RSF1"	"RSF1"
"RSL1D1"	"O76021;O76021-2"	"Ribosomal L1 domain-containing protein 1"	"RSL1D1"	"RSL1D1"
"RSRC2"	"Q7L4I2-2;Q7L4I2"	"Arginine/serine-rich coiled-coil protein 2"	"RSRC2"	"RSRC2"
"RSU1"	"Q15404;Q15404-2"	"Ras suppressor protein 1"	"RSU1"	"RSU1"
"RTCA"	"O00442;O00442-2"	"RNA 3-terminal phosphate cyclase"	"RTCA"	"RTCA"
"RTCB"	"Q9Y3I0"	"tRNA-splicing ligase RtcB homolog"	"RTCB"	"RTCB"
"RTF1"	"Q92541"	"RNA polymerase-associated protein RTF1 homolog"	"RTF1"	"RTF1"
"RTFDC1"	"Q9BY42"	"Protein RTF2 homolog"	"RTFDC1"	"RTFDC1"
"RTKN"	"Q9BST9;Q9BST9-3;Q9BST9-2"	"Rhotekin"	"RTKN"	"RTKN"
"RTN1"	"Q16799;Q16799-2;Q16799-3"	"Reticulon-1"	"RTN1"	"RTN1"
"RTN2"	"O75298-3;O75298;O75298-2"	"Reticulon-2"	"RTN2"	"RTN2"
"RTN3"	"O95197-3;O95197-6;O95197-5;O95197-4;O95197-7;O95197-2;O95197"	"Reticulon-3"	"RTN3"	"RTN3"
"RTN4"	"Q9NQC3-2"	"Reticulon-4"	"RTN4"	"RTN4"
"RTN4.1"	"Q9NQC3-3"	"Reticulon-4"	"RTN4"	"RTN4.1"
"RTN4IP1"	"Q8WWV3;Q8WWV3-3;Q8WWV3-2"	"Reticulon-4-interacting protein 1, mitochondrial"	"RTN4IP1"	"RTN4IP1"
"RUFY1"	"Q96T51;Q96T51-2;Q96T51-3"	"RUN and FYVE domain-containing protein 1"	"RUFY1"	"RUFY1"
"RUFY2"	"Q8WXA3-3;Q8WXA3-2;Q8WXA3;Q8WXA3-4;Q8WXA3-5"	"RUN and FYVE domain-containing protein 2"	"RUFY2"	"RUFY2"
"RUNDC1"	"Q96C34-2;Q96C34"	"RUN domain-containing protein 1"	"RUNDC1"	"RUNDC1"
"RUNX1"	"Q01196;Q01196-9;Q01196-10;Q01196-2;Q01196-8;Q01196-7;Q01196-4;Q01196-11;Q01196-3;Q01196-6;Q01196-5"	"Runt-related transcription factor 1"	"RUNX1"	"RUNX1"
"RUVBL1"	"Q9Y265;Q9Y265-2"	"RuvB-like 1"	"RUVBL1"	"RUVBL1"
"RUVBL2"	"Q9Y230;Q9Y230-2"	"RuvB-like 2"	"RUVBL2"	"RUVBL2"
"RWDD1"	"Q9H446-2;Q9H446"	"RWD domain-containing protein 1"	"RWDD1"	"RWDD1"
"RWDD4"	"Q6NW29;Q6NW29-2"	"RWD domain-containing protein 4"	"RWDD4"	"RWDD4"
"RXRB"	"P28702;P28702-3;P19793-2;P19793"	"Retinoic acid receptor RXR-beta"	"RXRB"	"RXRB"
"RYBP"	"Q8N488"	"RING1 and YY1-binding protein"	"RYBP"	"RYBP"
"S100A1"	"P23297"	"Protein S100-A1"	"S100A1"	"S100A1"
"S100A10"	"P60903"	"Protein S100-A10"	"S100A10"	"S100A10"
"S100A11"	"P31949"	"Protein S100-A11;Protein S100-A11, N-terminally processed"	"S100A11"	"S100A11"
"S100A13"	"Q99584"	"Protein S100-A13"	"S100A13"	"S100A13"
"S100A14"	"Q9HCY8"	"Protein S100-A14"	"S100A14"	"S100A14"
"S100A16"	"Q96FQ6"	"Protein S100-A16"	"S100A16"	"S100A16"
"S100A3"	"P33764"	"Protein S100-A3"	"S100A3"	"S100A3"
"S100A4"	"P26447"	"Protein S100-A4"	"S100A4"	"S100A4"
"S100A6"	"P06703"	"Protein S100-A6"	"S100A6"	"S100A6"
"S100A7"	"P31151"	"Protein S100-A7"	"S100A7"	"S100A7"
"S100A8"	"P05109"	"Protein S100-A8;Protein S100-A8, N-terminally processed"	"S100A8"	"S100A8"
"S100A9"	"P06702"	"Protein S100-A9"	"S100A9"	"S100A9"
"S100B"	"P04271"	"Protein S100-B"	"S100B"	"S100B"
"S100P"	"P25815"	"Protein S100-P"	"S100P"	"S100P"
"SAA1"	"P0DJI8;P0DJI9-2"	"Serum amyloid A-1 protein;Amyloid protein A;Serum amyloid protein A(2-104);Serum amyloid protein A(3-104);Serum amyloid protein A(2-103);Serum amyloid protein A(2-102);Serum amyloid protein A(4-101)"	"SAA1"	"SAA1"
"SAA2"	"P0DJI9"	"Serum amyloid A-2 protein"	"SAA2"	"SAA2"
"SACM1L"	"Q9NTJ5;Q9NTJ5-2"	"Phosphatidylinositide phosphatase SAC1"	"SACM1L"	"SACM1L"
"SAE1"	"Q9UBE0;Q9UBE0-2;Q9UBE0-3"	"SUMO-activating enzyme subunit 1;SUMO-activating enzyme subunit 1, N-terminally processed"	"SAE1"	"SAE1"
"SAFB"	"Q15424;Q15424-4;Q15424-3;Q15424-2"	"Scaffold attachment factor B1"	"SAFB"	"SAFB"
"SAFB2"	"Q14151;Q14151-2"	"Scaffold attachment factor B2"	"SAFB2"	"SAFB2"
"SAMD1"	"Q6SPF0"	"Atherin"	"SAMD1"	"SAMD1"
"SAMD4B"	"Q5PRF9"	"Protein Smaug homolog 2"	"SAMD4B"	"SAMD4B"
"SAMD9"	"Q5K651"	"Sterile alpha motif domain-containing protein 9"	"SAMD9"	"SAMD9"
"SAMD9L"	"Q8IVG5"	"Sterile alpha motif domain-containing protein 9-like"	"SAMD9L"	"SAMD9L"
"SAMHD1"	"Q9Y3Z3;Q9Y3Z3-3;Q9Y3Z3-4;Q9Y3Z3-2"	"Deoxynucleoside triphosphate triphosphohydrolase SAMHD1"	"SAMHD1"	"SAMHD1"
"SAMM50"	"Q9Y512"	"Sorting and assembly machinery component 50 homolog"	"SAMM50"	"SAMM50"
"SAP130"	"Q9H0E3;Q9H0E3-3;Q9H0E3-2"	"Histone deacetylase complex subunit SAP130"	"SAP130"	"SAP130"
"SAP18"	"O00422"	"Histone deacetylase complex subunit SAP18"	"SAP18"	"SAP18"
"SAP30BP"	"Q9UHR5-2;Q9UHR5"	"SAP30-binding protein"	"SAP30BP"	"SAP30BP"
"SAP30L"	"Q9HAJ7;Q9HAJ7-2;Q9HAJ7-3"	"Histone deacetylase complex subunit SAP30L"	"SAP30L"	"SAP30L"
"SAR1A"	"Q9NR31;Q9NR31-2"	"GTP-binding protein SAR1a"	"SAR1A"	"SAR1A"
"SAR1B"	"Q9Y6B6"	"GTP-binding protein SAR1b"	"SAR1B"	"SAR1B"
"SARAF"	"Q96BY9;Q96BY9-2"	"Store-operated calcium entry-associated regulatory factor"	"SARAF"	"SARAF"
"SARDH"	"Q9UL12-2;Q9UL12"	"Sarcosine dehydrogenase, mitochondrial"	"SARDH"	"SARDH"
"SARG"	"Q9BW04;Q9BW04-2"	"Specifically androgen-regulated gene protein"	"SARG"	"SARG"
"SARM1"	"Q6SZW1;Q6SZW1-2"	"Sterile alpha and TIR motif-containing protein 1"	"SARM1"	"SARM1"
"SARNP"	"P82979"	"SAP domain-containing ribonucleoprotein"	"SARNP"	"SARNP"
"SARS"	"P49591"	"Serine--tRNA ligase, cytoplasmic"	"SARS"	"SARS"
"SARS2"	"Q9NP81;Q9NP81-2"	"Serine--tRNA ligase, mitochondrial"	"SARS2"	"SARS2"
"SART1"	"O43290"	"U4/U6.U5 tri-snRNP-associated protein 1"	"SART1"	"SART1"
"SART3"	"Q15020;Q15020-4;Q15020-2;Q15020-3"	"Squamous cell carcinoma antigen recognized by T-cells 3"	"SART3"	"SART3"
"SAV1"	"Q9H4B6"	"Protein salvador homolog 1"	"SAV1"	"SAV1"
"SBDS"	"Q9Y3A5"	"Ribosome maturation protein SBDS"	"SBDS"	"SBDS"
"SBF1"	"O95248;O95248-4"	"Myotubularin-related protein 5"	"SBF1"	"SBF1"
"SBF2"	"Q86WG5;Q86WG5-3"	"Myotubularin-related protein 13"	"SBF2"	"SBF2"
"SBNO1"	"A3KN83-3;A3KN83-2;A3KN83;A3KN83-4"	"Protein strawberry notch homolog 1"	"SBNO1"	"SBNO1"
"SBNO2"	"Q9Y2G9-3;Q9Y2G9"	"Protein strawberry notch homolog 2"	"SBNO2"	"SBNO2"
"SBSPON"	"Q8IVN8"	"Somatomedin-B and thrombospondin type-1 domain-containing protein"	"SBSPON"	"SBSPON"
"SCAF1"	"Q9H7N4"	"Splicing factor, arginine/serine-rich 19"	"SCAF1"	"SCAF1"
"SCAF11"	"Q99590;Q99590-2"	"Protein SCAF11"	"SCAF11"	"SCAF11"
"SCAF4"	"O95104-3;O95104;O95104-2"	"Splicing factor, arginine/serine-rich 15"	"SCAF4"	"SCAF4"
"SCAF8"	"Q9UPN6;Q9UPN6-2"	"Protein SCAF8"	"SCAF8"	"SCAF8"
"SCAI"	"Q8N9R8;Q8N9R8-2"	"Protein SCAI"	"SCAI"	"SCAI"
"SCAMP1"	"O15126;O15126-2"	"Secretory carrier-associated membrane protein 1"	"SCAMP1"	"SCAMP1"
"SCAMP2"	"O15127"	"Secretory carrier-associated membrane protein 2"	"SCAMP2"	"SCAMP2"
"SCAMP3"	"O14828;O14828-2"	"Secretory carrier-associated membrane protein 3"	"SCAMP3"	"SCAMP3"
"SCAMP4"	"Q969E2-2;Q969E2;Q969E2-3"	"Secretory carrier-associated membrane protein 4"	"SCAMP4"	"SCAMP4"
"SCARB2"	"Q14108;Q14108-2"	"Lysosome membrane protein 2"	"SCARB2"	"SCARB2"
"SCCPDH"	"Q8NBX0"	"Saccharopine dehydrogenase-like oxidoreductase"	"SCCPDH"	"SCCPDH"
"SCD"	"O00767"	"Acyl-CoA desaturase"	"SCD"	"SCD"
"SCFD1"	"Q8WVM8;Q8WVM8-3;Q8WVM8-2"	"Sec1 family domain-containing protein 1"	"SCFD1"	"SCFD1"
"SCFD2"	"Q8WU76-2;Q8WU76"	"Sec1 family domain-containing protein 2"	"SCFD2"	"SCFD2"
"SCGB1D2"	"O95969"	"Secretoglobin family 1D member 2"	"SCGB1D2"	"SCGB1D2"
"SCGN"	"O76038"	"Secretagogin"	"SCGN"	"SCGN"
"SCIN"	"Q9Y6U3;Q9Y6U3-3;Q9Y6U3-2"	"Adseverin"	"SCIN"	"SCIN"
"SCLY"	"Q96I15;Q96I15-2"	"Selenocysteine lyase"	"SCLY"	"SCLY"
"SCO1"	"O75880"	"Protein SCO1 homolog, mitochondrial"	"SCO1"	"SCO1"
"SCO2"	"O43819"	"Protein SCO2 homolog, mitochondrial"	"SCO2"	"SCO2"
"SCOC"	"Q9UIL1-3;Q9UIL1-2;Q9UIL1;Q9UIL1-4"	"Short coiled-coil protein"	"SCOC"	"SCOC"
"SCP2"	"P22307;P22307-8;P22307-7;P22307-4;P22307-2;P22307-6;P22307-3;P22307-5"	"Non-specific lipid-transfer protein"	"SCP2"	"SCP2"
"SCPEP1"	"Q9HB40;Q9HB40-2"	"Retinoid-inducible serine carboxypeptidase"	"SCPEP1"	"SCPEP1"
"SCRIB"	"Q14160;Q14160-3;Q14160-2"	"Protein scribble homolog"	"SCRIB"	"SCRIB"
"SCRN1"	"Q12765;Q12765-2;Q12765-3"	"Secernin-1"	"SCRN1"	"SCRN1"
"SCRN2"	"Q96FV2-2;Q96FV2"	"Secernin-2"	"SCRN2"	"SCRN2"
"SCRN3"	"Q0VDG4-2;Q0VDG4"	"Secernin-3"	"SCRN3"	"SCRN3"
"SCUBE2"	"Q9NQ36-3;Q9NQ36-2;Q9NQ36;Q8IWY4"	"Signal peptide, CUB and EGF-like domain-containing protein 2"	"SCUBE2"	"SCUBE2"
"SCYL1"	"Q96KG9-2;Q96KG9;Q96KG9-3;Q96KG9-4;Q96KG9-6;Q96KG9-5"	"N-terminal kinase-like protein"	"SCYL1"	"SCYL1"
"SCYL2"	"Q6P3W7"	"SCY1-like protein 2"	"SCYL2"	"SCYL2"
"SDAD1"	"Q9NVU7;Q9NVU7-2"	"Protein SDA1 homolog"	"SDAD1"	"SDAD1"
"SDC4"	"P31431-2;P31431"	"Syndecan-4"	"SDC4"	"SDC4"
"SDCBP"	"O00560;O00560-3"	"Syntenin-1"	"SDCBP"	"SDCBP"
"SDCBP2"	"Q9H190-3;Q9H190"	"Syntenin-2"	"SDCBP2"	"SDCBP2"
"SDF2"	"Q99470"	"Stromal cell-derived factor 2"	"SDF2"	"SDF2"
"SDF2L1"	"Q9HCN8"	"Stromal cell-derived factor 2-like protein 1"	"SDF2L1"	"SDF2L1"
"SDF4"	"Q9BRK5-6;Q9BRK5;Q9BRK5-2;Q9BRK5-4;Q9BRK5-3"	"45 kDa calcium-binding protein"	"SDF4"	"SDF4"
"SDHA"	"P31040;P31040-2;P31040-3"	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"	"SDHA"	"SDHA"
"SDHB"	"P21912"	"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial"	"SDHB"	"SDHB"
"SDHC"	"Q99643-5;Q99643-3;Q99643"	"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial"	"SDHC"	"SDHC"
"SDHD"	"O14521-2;O14521;O14521-4"	"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial"	"SDHD"	"SDHD"
"SDPR"	"O95810"	"Serum deprivation-response protein"	"SDPR"	"SDPR"
"SDR39U1"	"Q9NRG7-2;Q9NRG7;Q9NRG7-3"	"Epimerase family protein SDR39U1"	"SDR39U1"	"SDR39U1"
"SDSL"	"Q96GA7"	"Serine dehydratase-like"	"SDSL"	"SDSL"
"SEC11A"	"P67812-4;P67812;P67812-3;P67812-2"	"Signal peptidase complex catalytic subunit SEC11A"	"SEC11A"	"SEC11A"
"SEC11C"	"Q9BY50"	"Signal peptidase complex catalytic subunit SEC11C"	"SEC11C"	"SEC11C"
"SEC13"	"P55735;P55735-2;P55735-3"	"Protein SEC13 homolog"	"SEC13"	"SEC13"
"SEC14L1"	"Q92503-3;Q92503;Q92503-2"	"SEC14-like protein 1"	"SEC14L1"	"SEC14L1"
"SEC14L2"	"O76054;O76054-5;O76054-4;Q9UDX4;Q9UDX4-3;Q9UDX4-2"	"SEC14-like protein 2"	"SEC14L2"	"SEC14L2"
"SEC16A"	"O15027-5;O15027;O15027-2;O15027-4;O15027-3"	"Protein transport protein Sec16A"	"SEC16A"	"SEC16A"
"SEC22B"	"O75396"	"Vesicle-trafficking protein SEC22b"	"SEC22B"	"SEC22B"
"SEC23A"	"Q15436;Q15436-2"	"Protein transport protein Sec23A"	"SEC23A"	"SEC23A"
"SEC23B"	"Q15437"	"Protein transport protein Sec23B"	"SEC23B"	"SEC23B"
"SEC23IP"	"Q9Y6Y8;Q9Y6Y8-2"	"SEC23-interacting protein"	"SEC23IP"	"SEC23IP"
"SEC24A"	"O95486;O95486-2"	"Protein transport protein Sec24A"	"SEC24A"	"SEC24A"
"SEC24B"	"O95487-2;O95487;O95487-3"	"Protein transport protein Sec24B"	"SEC24B"	"SEC24B"
"SEC24C"	"P53992;P53992-2"	"Protein transport protein Sec24C"	"SEC24C"	"SEC24C"
"SEC24D"	"O94855;O94855-2"	"Protein transport protein Sec24D"	"SEC24D"	"SEC24D"
"SEC31A"	"O94979;O94979-3;O94979-4;O94979-9;O94979-2;O94979-8;O94979-6;O94979-10;O94979-7;O94979-5"	"Protein transport protein Sec31A"	"SEC31A"	"SEC31A"
"SEC61A1"	"P61619;P61619-3"	"Protein transport protein Sec61 subunit alpha isoform 1"	"SEC61A1"	"SEC61A1"
"SEC61B"	"P60468"	"Protein transport protein Sec61 subunit beta"	"SEC61B"	"SEC61B"
"SEC61G"	"P60059"	"Protein transport protein Sec61 subunit gamma"	"SEC61G"	"SEC61G"
"SEC63"	"Q9UGP8"	"Translocation protein SEC63 homolog"	"SEC63"	"SEC63"
"SECISBP2"	"Q96T21;Q96T21-2;Q96T21-3"	"Selenocysteine insertion sequence-binding protein 2"	"SECISBP2"	"SECISBP2"
"SEH1L"	"Q96EE3;Q96EE3-1"	"Nucleoporin SEH1"	"SEH1L"	"SEH1L"
"SEL1L"	"Q9UBV2;Q9UBV2-2"	"Protein sel-1 homolog 1"	"SEL1L"	"SEL1L"
"SELENBP1"	"Q13228;Q13228-4;Q13228-2;Q13228-3"	"Selenium-binding protein 1"	"SELENBP1"	"SELENBP1"
"SELH"	"Q8IZQ5"	"Selenoprotein H"	"SELH"	"SELH"
"SELM"	"Q8WWX9"	"Selenoprotein M"	"SELM"	"SELM"
"SELO"	"Q9BVL4"	"Selenoprotein O"	"SELO"	"SELO"
"SELT"	"P62341"	"Selenoprotein T"	"SELT"	"SELT"
"SENP1"	"Q9P0U3-2;Q9P0U3"	"Sentrin-specific protease 1"	"SENP1"	"SENP1"
"SENP3"	"Q9H4L4"	"Sentrin-specific protease 3"	"SENP3"	"SENP3"
"SEP15"	"O60613;O60613-2"	"15 kDa selenoprotein"	"SEP15"	"SEP15"
"SEPHS1"	"P49903;P49903-2;P49903-4;P49903-3"	"Selenide, water dikinase 1"	"SEPHS1"	"SEPHS1"
"SEPHS2"	"Q99611"	"Selenide, water dikinase 2"	"SEPHS2"	"SEPHS2"
"SEPSECS"	"Q9HD40-3;Q9HD40"	"O-phosphoseryl-tRNA(Sec) selenium transferase"	"SEPSECS"	"SEPSECS"
"SEPT10"	"Q9P0V9;Q9P0V9-2;Q9P0V9-3"	"Septin-10"	"SEPT10"	"SEPT10"
"SEPT11"	"Q9NVA2;Q9NVA2-2"	"Septin-11"	"SEPT11"	"SEPT11"
"SEPT2"	"Q15019;Q15019-3;Q15019-2"	"Septin-2"	"SEPT2"	"SEPT2"
"SEPT5"	"Q99719;Q99719-2"	"Septin-5"	"SEPT5"	"SEPT5"
"SEPT6"	"Q14141-2;Q14141-4;Q14141;Q14141-3"	"Septin-6"	"SEPT6"	"SEPT6"
"SEPT7"	"Q16181-2;Q16181;Q6ZU15"	"Septin-7"	"SEPT7"	"SEPT7"
"SEPT8"	"Q92599-2;Q92599-4;Q92599;Q92599-3"	"Septin-8"	"SEPT8"	"SEPT8"
"SEPT9"	"Q9UHD8;Q9UHD8-7;Q9UHD8-2;Q9UHD8-5;Q9UHD8-3;Q9UHD8-4;Q9UHD8-9;Q9UHD8-8"	"Septin-9"	"SEPT9"	"SEPT9"
"SERBP1"	"Q8NC51-2;Q8NC51"	"Plasminogen activator inhibitor 1 RNA-binding protein"	"SERBP1"	"SERBP1"
"SERBP1.1"	"Q8NC51-4;Q8NC51-3"	"Plasminogen activator inhibitor 1 RNA-binding protein"	"SERBP1"	"SERBP1.1"
"SERPINA1"	"P01009;P01009-2;P01009-3"	"Alpha-1-antitrypsin;Short peptide from AAT"	"SERPINA1"	"SERPINA1"
"SERPINA3"	"P01011;P01011-2;P01011-3"	"Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less"	"SERPINA3"	"SERPINA3"
"SERPINB1"	"P30740;P30740-2;O75830"	"Leukocyte elastase inhibitor"	"SERPINB1"	"SERPINB1"
"SERPINB12"	"Q96P63;Q96P63-2"	"Serpin B12"	"SERPINB12"	"SERPINB12"
"SERPINB3"	"P29508;P29508-2"	"Serpin B3"	"SERPINB3"	"SERPINB3"
"SERPINB4"	"P48594"	"Serpin B4"	"SERPINB4"	"SERPINB4"
"SERPINB5"	"P36952;P36952-2"	"Serpin B5"	"SERPINB5"	"SERPINB5"
"SERPINB6"	"P35237"	"Serpin B6"	"SERPINB6"	"SERPINB6"
"SERPINB7"	"O75635-2;O75635"	"Serpin B7"	"SERPINB7"	"SERPINB7"
"SERPINB8"	"P50452;P50452-2;P50452-3"	"Serpin B8"	"SERPINB8"	"SERPINB8"
"SERPINB9"	"P50453"	"Serpin B9"	"SERPINB9"	"SERPINB9"
"SERPINC1"	"P01008"	"Antithrombin-III"	"SERPINC1"	"SERPINC1"
"SERPING1"	"P05155-2;P05155;P05155-3"	"Plasma protease C1 inhibitor"	"SERPING1"	"SERPING1"
"SERPINH1"	"P50454"	"Serpin H1"	"SERPINH1"	"SERPINH1"
"SESN2"	"P58004"	"Sestrin-2"	"SESN2"	"SESN2"
"SESTD1"	"Q86VW0"	"SEC14 domain and spectrin repeat-containing protein 1"	"SESTD1"	"SESTD1"
"SET"	"Q01105-2"	"Protein SET"	"SET"	"SET"
"SETD1A"	"O15047"	"Histone-lysine N-methyltransferase SETD1A"	"SETD1A"	"SETD1A"
"SETD3"	"Q86TU7;Q86TU7-3;Q86TU7-2"	"Histone-lysine N-methyltransferase setd3"	"SETD3"	"SETD3"
"SETD7"	"Q8WTS6"	"Histone-lysine N-methyltransferase SETD7"	"SETD7"	"SETD7"
"SETDB1"	"Q15047-3;Q15047;Q15047-2"	"Histone-lysine N-methyltransferase SETDB1"	"SETDB1"	"SETDB1"
